,step,value
0,1,10.83907413482666
1,2,10.303122520446777
2,3,8.769309043884277
3,4,8.69035530090332
4,5,9.610405921936035
5,6,9.659980773925781
6,7,9.70140266418457
7,8,9.131136894226074
8,9,8.950851440429688
9,10,8.47605037689209
10,11,8.341160774230957
11,12,8.594232559204102
12,13,8.416168212890625
13,14,8.095195770263672
14,15,8.7108154296875
15,16,8.14402961730957
16,17,8.929327011108398
17,18,8.398041725158691
18,19,8.278045654296875
19,20,8.382553100585938
20,21,8.207954406738281
21,22,8.546009063720703
22,23,8.02267074584961
23,24,8.497461318969727
24,25,8.206395149230957
25,26,8.32586669921875
26,27,8.09478759765625
27,28,8.241698265075684
28,29,8.061537742614746
29,30,8.2357177734375
30,31,8.156669616699219
31,32,8.254293441772461
32,33,8.088521957397461
33,34,7.939709663391113
34,35,7.965815544128418
35,36,8.390554428100586
36,37,8.074604034423828
37,38,8.275976181030273
38,39,8.106327056884766
39,40,8.024672508239746
40,41,8.012554168701172
41,42,8.068531036376953
42,43,7.927000045776367
43,44,8.0030517578125
44,45,7.977687835693359
45,46,7.844597816467285
46,47,7.858904838562012
47,48,7.9110260009765625
48,49,7.923887252807617
49,50,7.894766807556152
50,51,7.860312461853027
51,52,7.927258014678955
52,53,7.9917473793029785
53,54,8.016815185546875
54,55,7.994791507720947
55,56,7.849848747253418
56,57,8.005070686340332
57,58,7.96276330947876
58,59,7.946116924285889
59,60,7.734679222106934
60,61,7.913649559020996
61,62,7.90153694152832
62,63,7.988400459289551
63,64,7.938069820404053
64,65,7.669563293457031
65,66,7.717088222503662
66,67,7.781213283538818
67,68,7.915006637573242
68,69,7.750205993652344
69,70,7.973990440368652
70,71,7.796074867248535
71,72,7.813635349273682
72,73,8.102142333984375
73,74,7.882246494293213
74,75,7.692887306213379
75,76,7.763714790344238
76,77,7.725344657897949
77,78,7.684116840362549
78,79,8.19687271118164
79,80,7.727570056915283
80,81,7.717921257019043
81,82,7.7501115798950195
82,83,7.66074800491333
83,84,7.665069103240967
84,85,7.610044479370117
85,86,7.637904167175293
86,87,7.569162845611572
87,88,7.780425548553467
88,89,7.920821189880371
89,90,7.427204608917236
90,91,7.7429094314575195
91,92,8.03575325012207
92,93,7.486485004425049
93,94,7.775127410888672
94,95,7.754974365234375
95,96,7.628111839294434
96,97,7.758861541748047
97,98,7.472234725952148
98,99,7.646726608276367
99,100,7.377007484436035
100,101,7.767050266265869
101,102,7.660392761230469
102,103,7.594801902770996
103,104,7.714377403259277
104,105,7.644194602966309
105,106,7.295018196105957
106,107,7.813807010650635
107,108,7.64704704284668
108,109,7.367558479309082
109,110,7.478786468505859
110,111,7.788044452667236
111,112,7.5340352058410645
112,113,7.35172176361084
113,114,7.647714614868164
114,115,7.684759140014648
115,116,7.32568883895874
116,117,7.467761993408203
117,118,7.55409574508667
118,119,7.529633045196533
119,120,7.439134120941162
120,121,7.375044822692871
121,122,7.434891700744629
122,123,7.593559741973877
123,124,7.378421306610107
124,125,7.6555070877075195
125,126,7.282644271850586
126,127,7.519023895263672
127,128,7.365116119384766
128,129,7.570333480834961
129,130,7.262032985687256
130,131,7.641838073730469
131,132,7.439931869506836
132,133,7.494301795959473
133,134,7.729345321655273
134,135,7.4817728996276855
135,136,7.615578651428223
136,137,7.283087253570557
137,138,7.159099102020264
138,139,7.54265832901001
139,140,7.472077369689941
140,141,7.369977951049805
141,142,7.264950752258301
142,143,7.293561935424805
143,144,7.134613513946533
144,145,7.559237957000732
145,146,7.1847124099731445
146,147,7.270190238952637
147,148,7.50651741027832
148,149,7.2083539962768555
149,150,7.275519847869873
150,151,7.200472831726074
151,152,7.368378639221191
152,153,7.532406806945801
153,154,7.234334945678711
154,155,7.565299034118652
155,156,7.3872480392456055
156,157,7.126777172088623
157,158,7.315375328063965
158,159,7.3675384521484375
159,160,7.352436065673828
160,161,7.284654140472412
161,162,7.463742256164551
162,163,7.181015968322754
163,164,7.2226762771606445
164,165,7.204804420471191
165,166,7.279049396514893
166,167,7.472644329071045
167,168,7.373913764953613
168,169,7.197341442108154
169,170,7.2185564041137695
170,171,7.302443504333496
171,172,7.45503044128418
172,173,7.190809726715088
173,174,7.167583465576172
174,175,7.214970588684082
175,176,7.3539628982543945
176,177,7.154829025268555
177,178,7.573658466339111
178,179,7.508103847503662
179,180,7.377864360809326
180,181,7.204943656921387
181,182,7.137939929962158
182,183,7.43767786026001
183,184,7.438150405883789
184,185,7.373175144195557
185,186,7.387809753417969
186,187,7.3333282470703125
187,188,7.404858589172363
188,189,7.031559467315674
189,190,7.226966857910156
190,191,7.311216831207275
191,192,7.286590576171875
192,193,7.361719131469727
193,194,7.1444597244262695
194,195,7.2888102531433105
195,196,7.1982421875
196,197,7.360716342926025
197,198,7.2281928062438965
198,199,7.382260322570801
199,200,7.180978298187256
